Szczyt;Wysokość mnp;Zdobyte;Nie zdobyte
Rysy w Tatrach;2499;;1
Babia Góra w Beskidzie Żywieckim;1725;1;
Śnieżka w Karkonoszach;1603;;1
Śnieżnik w Masywie Śnieżnika;1423;;1
Tarnica w Bieszczadach Zachodnich;1346;1;
Turbacz w Gorcach;1310;1;
Radziejowa w Beskidzie Sądeckim;1266;;1
Skrzyczne w Beskidzie Śląskim;1257;;1
Mogielica w Beskidzie Wyspowym;1171;1;
Wysoka Kopa w Górach Izerskich;1126;;1
Rudawiec w Górach Bialskich;1106;;1
Orlica w Górach Orlickich;1084;;1
Wysoka (Wysokie Skałki) w Pieninach;1050;1;
Wielka Sowa w Górach Sowich;1015;;1
Lackowa w Beskidzie Niskim;997;;1
Kowadło w Górach Złotych;989;;1
Jagodna w Górach Bystrzyckich;977;;1
Skalnik w Rudawach Janowickich;945;;1
Waligóra w Górach Kamiennych;936;;1
Czupel w Beskidzie Małym;933;;1
Szczeliniec Wielki w Górach Stołowych;919;;1
Lubomir w Beskidzie Makowskim;904;;1
Biskupia Kopa w Górach Opawskich;889;;1
Chełmiec w Górach Wałbrzyskich;850;;1
Kłodzka Góra w Górach Bardzkich;765;;1
Skopiec w Górach Kaczawskich;724;;1
Ślęża w Masywie Ślęży;718;;1
Łysica w Górach Świętokrzyskich;614;;1
;31141;5;23
